Date,AAL,ALK,ALLE,AME,AOS,ARNC,AYI,BA,CAT,CHRW,CMI,COL,CSX,CTAS,DAL,DE,DOV,EFX,EMR,ETN,EXPD,FAST,FBHS,FDX,FLR,FLS,FTV,GD,GE,GWW,HII,HON,HRS,INFO,IR,ITW,JBHT,JCI,JEC,KSU,LLL,LMT,LUV,MAS,MMM,NLSN,NOC,NSC,PCAR,PH,PNR,PWR,RHI,ROK,ROP,RSG,RTN,SNA,SRCL,SWK,TDG,TXT,UAL,UNP,UPS,URI,UTX,VRSK,WM,XYL
2017-11-28,49.12553,66.964584,83.166771,71.90973699999999,62.09228100000001,24.181637,167.904724,266.673615,138.34787,80.693283,163.451431,132.002426,51.722733000000005,152.029999,50.289803000000006,148.814819,95.61754599999999,112.089996,63.713699,76.849998,60.870476000000004,50.069771,65.512947,218.05343599999998,47.262104,40.935604,73.222504,203.367447,18.133688,210.522781,240.469131,152.02123999999998,143.668579,44.619999,85.753288,163.712357,105.814247,38.152977,64.407875,106.510773,194.037933,315.250702,55.936218000000004,40.833878000000006,234.24873399999998,37.06694,305.904114,129.52891499999998,67.136826,185.061279,68.989677,37.060001,55.638073,196.252487,264.630066,63.175011,187.948181,163.22503700000001,63.860001000000004,167.78680400000002,277.059998,54.30011,60.189999,117.51364099999999,114.22219799999999,156.600006,117.059669,95.230003,80.747597,68.32225799999999
2017-11-29,49.155471999999996,68.77578000000001,82.777534,71.590141,62.331635,24.021955,170.312775,267.977173,137.42216499999998,83.62291,163.451431,131.65329,54.222713,153.729996,51.801079,147.87837199999998,95.42840600000001,112.650002,63.4356,76.839996,63.990002000000004,50.904270000000004,66.659325,225.45793199999997,47.817661,41.323856,73.352379,203.347519,18.202637,215.697052,239.042923,152.498917,142.6922,44.16,85.179291,165.105835,108.41893799999998,37.825275,64.677246,109.74985500000001,195.711609,316.980072,58.634941000000005,41.931293,236.614761,35.948494000000004,304.701965,135.759048,67.60707099999999,183.656372,68.989677,37.650002,56.543648,189.283646,261.834381,63.980862,187.7789,166.35881,65.290001,166.30836499999998,279.320007,54.819919999999996,62.09,122.293365,118.03984799999999,157.83999599999999,117.50718700000002,94.980003,81.746925,68.00318100000001
2017-11-30,50.393093,68.835487,83.97518199999999,72.598877,63.249157,24.560879,171.281998,275.440338,140.497879,85.76074200000001,166.312714,131.98246799999998,55.527485,157.440002,52.616375,149.292999,97.270073,114.120003,64.379143,77.779999,64.779999,52.04673,68.204437,230.976379,48.025997,42.389061,74.581253,206.32548500000001,18.01549,220.21456899999998,241.02763399999998,155.20576499999999,143.967484,44.619999,86.713257,168.460098,110.91385700000001,37.378399,65.47535699999999,111.763062,197.84356699999998,317.338043,60.417488,42.809227,241.714706,36.344406,305.407349,137.96846000000002,68.900238,186.814957,70.820915,37.900002,56.762581000000004,192.22052,266.796692,64.60764300000001,190.337967,168.55741899999998,66.309998,168.947708,283.790009,55.689602,63.32,125.83464099999999,120.42959599999999,159.479996,120.778999,96.41999799999999,81.80162800000001,69.139893
2017-12-01,48.905949,66.586426,84.414322,71.999619,62.6408,24.451099,166.875549,270.046967,140.86618,85.651871,163.938248,132.571014,55.915928,157.5,51.761311,149.372696,96.44381,112.93,64.250023,77.699997,64.470001,51.838108,67.307266,230.35766600000002,48.283936,42.199909000000005,74.511314,201.823685,17.611641,217.149811,235.362747,153.65330500000002,142.333527,44.709998999999996,85.317841,164.10054,108.78819299999999,37.159927,65.305756,110.01894399999999,194.805023,311.819061,59.670609,42.400188,239.736359,35.859417,298.659302,136.843842,68.234055,186.376541,69.855537,37.389998999999996,55.807251,189.61218300000002,260.19693,63.891327000000004,186.096069,167.383499,66.940002,168.051331,279.869995,54.8699,62.57,123.96453100000001,119.29917900000001,157.08999599999999,119.456352,95.639999,81.364021,68.810852
2017-12-04,49.834164,67.949799,83.266571,71.699997,62.03244399999999,24.680639000000003,172.041382,276.604584,140.84626799999998,85.869614,163.88858000000002,132.511154,56.762539000000004,158.71000700000002,52.606434,150.398788,97.100838,113.400002,64.657234,76.410004,64.93,54.520419999999994,68.672958,238.55052200000003,49.210556,42.637939,74.161644,200.87751799999998,17.680593,226.373932,233.68719500000003,153.026367,141.167847,44.439999,84.23912800000001,165.444244,109.975761,37.169861,66.53286,113.05869299999999,192.214798,310.03903199999996,61.771828,43.198311,237.857437,37.2253,299.586273,139.222443,68.84144599999999,185.18086200000002,68.830444,38.799999,56.384426,189.930756,261.464966,64.697182,184.751801,172.427399,67.360001,169.12698400000002,275.01001,55.159797999999995,62.59,129.39581299999998,122.680527,159.75,119.37679299999999,96.010002,82.696724,68.571541
2017-12-05,49.37505,67.770668,81.839371,71.050003,61.414116,24.181637,170.162903,274.186523,139.492554,85.03823100000001,163.769348,132.71066299999998,55.567326,156.279999,52.089417,150.09993,95.51799799999999,114.389999,64.240089,74.949997,64.800003,53.536903,68.264252,234.908142,48.682484,41.851482,72.882813,199.104691,17.493444,225.58784500000002,232.171234,152.319794,142.054565,44.669998,83.704712,164.249847,109.05763999999999,36.871947999999996,66.303398,111.713226,194.316879,308.40820299999996,61.463119999999996,42.879063,236.86329700000002,37.443054,296.78537,138.177444,68.743484,183.646393,68.223351,38.419998,53.030818999999994,186.844543,257.800659,64.746925,183.069,170.288452,66.5,167.66288799999998,271.950012,53.990223,62.200001,127.336693,119.358673,159.190002,119.62541200000001,95.940002,82.865799,67.644226
2017-12-06,49.514778,67.501976,81.629784,71.040001,61.2346,24.081837,163.917938,276.903107,139.69162,86.255608,164.305847,132.900192,55.407967000000006,156.5,51.999931,148.88453700000002,95.846512,115.690002,64.289757,75.790001,64.339996,53.079918000000006,67.546516,235.89607200000003,48.971428,41.622513,73.222504,199.40348799999998,17.394945,220.333969,233.028946,152.260086,141.99478100000002,45.34,85.36733199999999,165.52388,110.185341,36.981182000000004,67.530502,111.045479,193.908417,310.22796600000004,60.989132,42.051014,237.27090499999997,37.57172,299.227448,138.067978,68.69450400000001,185.659119,68.90010799999999,38.290001000000004,52.821842000000004,189.741592,258.509552,64.9459,184.413254,167.751587,65.779999,167.792374,274.0,53.900256999999996,62.189999,127.27700800000001,117.29615,158.279999,120.53038000000001,95.870003,83.044815,67.783829
2017-12-07,50.782340999999995,69.034531,82.94720500000001,71.400002,61.424088,24.540917999999998,165.21688799999998,280.58493,142.229843,86.522835,168.200394,133.279251,55.935848,158.0,53.103565,150.53826899999999,96.274574,116.83000200000001,65.332611,77.260002,64.18,53.48723199999999,68.025002,238.80000299999998,49.360012,42.458748,73.532219,199.363632,17.444193,221.16983,235.23307799999998,152.538727,142.672272,45.560001,85.85479699999999,165.712982,111.37291699999999,37.100349,67.530502,111.214905,192.89224199999998,312.664307,62.88506700000001,42.210636,238.89135699999997,37.720188,301.699402,140.35701,69.772141,190.641129,69.089203,38.450001,53.26965,191.40416000000002,260.07711800000004,64.90610500000001,185.34925800000002,170.04968300000002,66.949997,167.682816,275.149994,54.769939,63.529999,127.78433999999999,118.724052,162.380005,121.72375500000001,95.440002,83.45258299999999,68.182663
2017-12-08,50.922073,69.402733,82.29847,71.739998,62.052391,24.421158,171.51181,284.495636,143.195358,87.472984,169.770126,134.276779,56.23465,159.179993,53.153275,151.006485,98.15606700000001,117.400002,66.097374,77.290001,64.459999,53.427624,68.005066,240.729996,50.19696,41.941078000000005,73.622139,200.260025,17.444193,222.801712,236.38002000000003,152.916885,142.722092,45.59,87.158043,165.712982,112.281067,37.149998,68.34857199999999,111.364403,193.121384,314.086304,63.194405,42.619675,236.73407000000003,37.561825,304.679749,140.14801,70.506889,192.285172,69.616676,39.400002,54.414058999999995,192.001495,260.176941,64.806618,187.271072,171.30320700000001,66.58000200000001,166.985641,274.619995,54.819919999999996,63.549999,128.43090800000002,118.55547299999999,164.0,122.13148500000001,96.160004,84.10897800000001,67.993217
2017-12-11,51.201534,69.382835,82.009041,71.910004,61.194706000000004,24.381239,173.480225,281.769104,143.105789,87.067192,169.660843,134.187012,56.742615,158.330002,54.05805600000001,150.757431,96.344261,118.519997,65.95832800000001,77.769997,64.160004,53.467361,67.905388,238.61000099999998,49.947868,41.4035,72.942764,198.83577,17.385094,222.433533,233.47776800000003,152.46907,142.114334,45.130001,87.366959,164.259796,111.073532,37.447914000000004,68.21887199999999,110.258133,192.683044,314.404541,63.184425,42.320377,237.89721699999998,37.502438,303.57330299999995,140.874527,70.28157,191.248932,69.437531,39.169998,54.29464300000001,190.617676,256.063324,64.916054,186.285263,170.447632,67.16999799999999,166.22868300000002,274.380005,54.609997,64.239998,128.371231,117.058167,163.820007,122.61878999999999,94.32,84.904625,67.085838
