Date,AIV,AMT,ARE,AVB,BXP,CBG,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT,GGP,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SBAC,SLG,SPG,UDR,VNO,VTR,WELL,WY
2017-12-05,42.963947,140.060745,125.155731,177.388092,124.71231100000001,43.610001000000004,107.78413400000001,112.10846699999999,27.146418,442.98800700000004,64.996117,241.22723399999998,84.114311,130.55548100000001,23.321394,26.128982999999998,19.485210000000002,39.731701,18.198324,100.413292,64.444122,54.541889000000005,64.009811,209.055954,67.139526,163.869995,101.78347,160.726013,38.48019,76.239182,61.90993100000001,0.145,34.868538
2017-12-06,43.171883,141.095581,125.980042,177.953568,124.63281299999998,43.549999,108.15065,111.73152900000001,27.166259999999998,447.61087000000003,64.886986,240.204712,84.679237,129.116333,23.182692000000003,26.178171,19.366701000000003,39.45599,17.765032,101.324242,64.04900400000001,54.028275,64.287941,209.798874,66.69384000000001,166.399994,101.565239,160.73587,38.549614,75.753456,62.166534,0.145,34.918083
2017-12-07,43.41943,143.394104,127.290985,178.528961,123.181854,43.82,108.675652,113.21943700000001,27.563139000000003,453.108551,64.638947,238.86450200000002,84.49092900000001,128.86821,23.182692000000003,26.335575,19.406202,39.37722,17.883202,101.264832,63.683521,54.156677,65.3806,206.371552,66.80278,166.679993,100.999832,160.054474,38.509945,75.396591,62.699474,0.145,35.294609
2017-12-08,43.696682,141.76225300000002,129.108444,180.770981,123.887459,43.619999,108.467628,113.884026,27.692123,449.748322,65.293762,242.537659,85.51175699999999,129.31483500000002,23.212414000000003,26.345413,19.593847,39.505221999999996,18.011221,102.11637900000001,64.947906,54.897465000000004,65.71833000000001,208.84793100000002,66.93154100000001,165.190002,101.773544,160.232224,38.708294,76.318481,62.482353,0.145,35.106346
2017-12-11,43.825401,143.33441200000001,129.297134,181.356293,124.27503999999999,43.349998,109.864342,114.022896,27.493683,446.95471200000003,65.402901,247.352478,87.03804000000001,128.81858799999998,23.172785,26.286385,19.583971,40.07634,17.833963,101.868835,62.517918,54.739429,65.291206,209.679993,67.030579,166.610001,101.773544,160.242096,38.906647,76.33830999999999,62.49221800000001,0.145,35.116253
2017-12-12,43.449139,142.797089,130.498825,182.179688,125.39803300000001,43.330002,109.844528,113.97330500000001,27.592903000000003,447.581024,65.779922,247.34254500000003,87.07769,129.52327,23.549257,26.69957,19.603722,37.220776,18.129391000000002,102.859009,65.659126,55.0555,65.728264,211.72000099999997,67.93184699999999,165.669998,102.190163,164.281235,39.045494,77.03220400000001,62.985682999999995,0.145,35.304520000000004
2017-12-13,43.459038,143.01599099999999,130.260483,180.86026,125.58686100000001,43.200001,110.320007,114.379997,27.503605,448.64480599999996,65.115173,246.18103,86.82,130.386765,23.469998999999998,26.532328000000003,19.603722,37.752502,18.129391000000002,101.561882,65.95546,56.17161899999999,65.320999,212.559998,68.10022,165.429993,102.071129,163.7677,38.708294,76.74472800000001,63.035030000000006,0.145,35.433331
2017-12-14,43.41943,142.92643700000002,130.985474,180.91978500000002,125.924751,42.580002,110.610001,115.269997,27.592903000000003,457.66183499999994,64.886986,247.19363399999997,86.599998,129.751541,23.42,26.374924,19.534592,37.959998999999996,18.080153,101.443062,65.75790400000001,56.270396999999996,65.470001,211.020004,68.535988,165.800003,102.299278,163.57019,38.777718,76.804214,62.630390000000006,0.145,35.324337
2017-12-15,43.409527000000004,142.050812,131.928955,180.215439,128.608017,43.25,110.650002,114.459999,27.602825,455.176422,65.14494300000001,247.97789,87.559998,131.012039,23.309998999999998,26.3946,19.890123000000003,37.68,18.188475,102.08667,64.681206,56.69511800000001,65.980003,211.559998,69.328316,163.679993,102.398476,165.723083,39.035576,77.161064,63.410061,0.145,35.5126
2017-12-18,43.785796999999995,142.130417,133.110794,181.009079,130.148422,44.200001,109.629997,114.099998,27.632590999999998,453.158295,65.085411,248.05731200000002,87.58000200000001,132.877975,23.280001000000002,26.542165999999998,20.324665,37.939999,18.562685000000002,101.938148,64.878761,57.090199,65.860001,212.08999599999999,69.694771,161.78999299999998,102.953964,167.708084,39.045494,78.747116,63.548229000000006,0.145,35.681046
2017-12-19,42.815422,141.15528899999998,130.697464,176.306763,128.04155,43.5,108.550003,111.779999,27.057119,445.900909,63.795612,241.05847200000002,86.199997,131.041824,23.370001000000002,25.676447,20.028387,37.950001,18.030914000000003,98.52205699999999,65.056564,55.658009,63.380001,208.21000700000002,68.337914,157.990005,100.801445,166.32548500000001,37.82563,77.498108,61.021702000000005,0.42,35.155888
2017-12-20,42.83522,139.493576,127.747841,176.20755,127.057686,43.27,107.889999,110.41999799999999,26.809071000000003,444.58862300000004,63.309456000000004,238.55674700000003,85.660004,129.54312099999999,23.1,25.420666,19.801241,37.18,17.755184,98.502258,63.861323999999996,54.927096999999996,63.049999,205.149994,67.357414,157.979996,98.192627,161.940704,37.716537,76.149963,59.896599,0.145,35.096436
2017-12-21,42.726307,138.916458,127.94646499999999,174.154022,126.153328,43.32,108.18,109.309998,26.580868,443.28628499999996,62.892745999999995,235.84655800000002,85.16999799999999,128.352112,23.07,25.184561,19.801241,37.150002,17.676403,97.79923199999999,63.624256,54.571514,63.009997999999996,203.720001,67.05038499999999,157.83999599999999,98.321579,162.651749,37.369423,76.45725999999999,59.057713,0.145,34.888355
2017-12-22,42.765910999999996,139.961243,128.57214399999998,176.703583,126.55084199999999,43.369999,108.550003,110.980003,26.65032,443.992126,63.299530000000004,237.653351,86.120003,129.41409299999998,23.4,25.253426,19.890123000000003,37.66,17.745337,98.7696,64.40460999999999,55.164145999999995,63.830002,205.970001,67.436646,160.220001,99.234169,164.992294,37.845467,76.526649,59.353790000000004,0.145,34.620823
2017-12-26,42.904537,140.21000700000002,129.495758,177.566666,127.693726,43.560001,108.970001,111.589996,26.70985,444.09155300000003,63.597176,238.814865,86.800003,131.031906,23.48,25.528883,19.929628,37.66,17.971829999999997,99.165672,64.928154,55.53948199999999,63.82,208.029999,68.030891,159.820007,99.54167199999999,167.253799,38.014069,76.893425,59.393269,0.145,34.739727
2017-12-27,42.934242,141.559998,130.330002,177.150009,128.28999299999998,43.759997999999996,109.43,112.5,26.908291,449.05239900000004,63.577335,239.479996,87.410004,132.292389,23.469998999999998,25.45018,19.9,37.450001,17.971829999999997,99.08645600000001,65.076317,56.02346800000001,64.279999,209.279999,68.35771899999999,161.259995,99.849174,168.64627099999998,38.043819,77.081772,59.353790000000004,0.145,34.779358
2017-12-28,43.161983,142.91000400000001,130.669998,178.580002,128.83999599999999,43.950001,109.82,114.029999,27.086884,452.45242300000007,63.746002000000004,240.91000400000001,87.760002,132.610001,23.42,25.607584,20.120001000000002,37.98,18.090002,99.57164,65.204735,56.418556,64.760002,209.240005,68.753883,163.0,100.116997,169.02153,38.301674,77.389061,59.639998999999996,0.145,34.937897
2017-12-29,43.280803999999996,142.669998,130.58999599999999,178.41000400000001,130.029999,43.310001,111.010002,113.900002,26.997587,450.57345599999996,63.77,241.36999500000002,87.449997,132.809998,23.389999,25.656771,19.85,37.73,18.15,99.57164,64.878761,56.530087,64.510002,209.0,68.51619000000001,163.360001,100.93,169.604218,38.202498999999996,77.498108,60.009997999999996,0.145,34.937897
2018-01-02,43.023357,141.130005,129.929993,177.240005,129.279999,43.82,108.93,112.660004,26.680084,444.310272,63.509997999999996,240.080002,85.68,133.75,23.74,25.489531,19.940001000000002,37.610001000000004,18.120001000000002,98.621071,65.79741700000001,56.133522,64.010002,206.320007,68.872734,160.630005,100.639999,170.27574199999998,37.746292,76.645607,59.759997999999996,0.145,34.977534999999996
2018-01-03,43.082767,141.679993,129.320007,177.78999299999998,129.350006,44.189999,108.470001,113.690002,26.60071,446.358246,63.84,242.539993,85.860001,133.25,23.58,25.479692,19.870001000000002,37.099998,18.0,98.51215400000001,64.849129,55.984809999999996,63.889998999999996,206.770004,68.387436,162.639999,100.949997,169.485687,38.023983,76.427521,60.119999,0.145,35.284702
2018-01-04,42.399544,139.610001,126.739998,174.610001,126.480003,44.049999,107.209999,112.279999,26.09469,445.334259,62.740002000000004,238.72000099999997,84.300003,128.53999299999998,23.26,24.850079,19.82,36.919998,17.68,95.63076,63.21925400000001,54.77529499999999,62.610001000000004,203.110001,66.149124,161.75,98.849998,164.52813700000002,37.250412,74.147591,58.650002,0.145,34.997353000000004
2018-01-05,42.142097,140.509995,127.0,174.259995,127.860001,44.27,108.029999,113.0,26.253441,446.865234,62.689999,239.36999500000002,83.900002,128.360001,23.75,24.604135999999997,19.860001,36.799999,17.700001,95.204987,64.01937099999999,54.735634,62.560001,201.919998,66.129311,162.869995,99.860001,166.05883799999998,37.200821000000005,74.782005,58.349998,0.145,34.947807
2018-01-08,42.468857,142.009995,127.279999,174.389999,126.739998,44.84,108.349998,114.150002,26.273284999999998,455.524384,63.110001000000004,238.16000400000001,85.16999799999999,129.91000400000001,23.559998999999998,24.623812,20.389999,37.040001000000004,17.799999,95.531746,64.43425,54.805035,63.290001000000004,203.529999,66.67403399999999,162.889999,99.379997,167.145172,37.299999,73.92950400000001,58.450001,0.145,35.175709000000005
2018-01-09,41.567791,141.050003,126.32,173.070007,125.400002,45.150002,107.68,112.599998,26.025238,453.31735199999997,62.349998,236.270004,83.110001,125.440002,23.24,24.102411,20.440001000000002,36.830002,17.219998999999998,94.076187,62.764866000000005,53.783885999999995,62.650002,201.149994,65.267662,163.550003,98.629997,163.471436,36.939999,73.086922,57.689999,0.145,34.937897
2018-01-10,41.052898,137.610001,125.279999,170.96000700000002,124.650002,44.27,104.91999799999999,109.540001,25.668049,440.413147,61.459998999999996,232.22000099999997,82.360001,123.839996,23.32,23.964685,20.65,36.549999,17.129998999999998,92.987,62.261086,52.604110999999996,61.439999,196.110001,64.71302800000001,160.889999,96.08000200000001,162.928268,36.41,72.026253,56.84,0.145,34.511829
2018-01-11,40.547905,134.970001,125.099998,169.770004,123.860001,45.119999,103.690002,107.940002,25.429920000000003,432.847595,60.959998999999996,232.440002,82.25,123.209999,23.23,23.777767,20.57,36.580002,17.01,92.07,62.330231000000005,52.822216000000004,61.650002,196.119995,63.752342000000006,157.5,95.730003,162.780136,36.080002,72.244331,56.23,0.145,34.670367999999996
2018-01-12,40.221146000000005,133.0,125.120003,168.229996,122.33000200000001,44.889998999999996,103.57,105.779999,25.509296,433.40432699999997,60.419998,227.100006,82.25,122.809998,23.190001000000002,23.256367,20.360001,36.220001,16.76,91.32,62.20182,52.267033000000005,61.849998,193.550003,63.445313,155.940002,95.470001,163.451675,35.700001,71.292702,54.830002,0.145,34.937897
2018-01-16,40.310261,135.630005,124.93,169.029999,121.559998,44.650002,105.32,107.480003,25.598593,445.483368,60.669998,227.600006,82.709999,122.050003,23.08,23.33507,20.32,36.23,16.549999,92.199997,60.809020999999994,52.485138,62.139998999999996,193.75,63.049152,159.850006,94.989998,162.987518,36.07,70.588898,54.52,0.145,34.442467
2018-01-17,40.557808,136.639999,125.5,169.91000400000001,122.5,44.990002000000004,106.029999,107.010002,25.826798999999998,439.31955,60.849998,227.36000099999998,83.459999,122.800003,23.209999,23.33507,20.93,36.330002,16.6,92.870003,62.251208999999996,52.782566,62.860001000000004,195.690002,63.593876,161.470001,95.07,165.318176,36.080002,70.678116,54.98,0.145,34.888355
2018-01-18,40.181540999999996,135.190002,125.379997,167.78999299999998,121.18,45.189999,106.110001,106.959999,25.191793,434.895569,60.450001,224.600006,82.699997,122.050003,22.99,22.951399,20.5,35.299999,16.469998999999998,91.540001,62.132675,52.296772,61.43,193.25,63.029346,161.649994,94.110001,162.20735200000001,35.880001,70.71775799999999,54.380001,0.145,34.977534999999996
2018-01-19,40.20134,137.619995,125.949997,168.699997,121.949997,45.880001,107.349998,107.300003,25.439842000000002,435.333008,60.470001,223.63000499999998,83.639999,122.610001,23.049999,23.039938,20.719998999999998,35.490002000000004,16.41,92.519997,62.972301,52.683422,61.779999,193.559998,63.1581,165.78999299999998,93.910004,162.19747900000002,35.970001,71.163841,54.470001,0.145,35.472965
2018-01-22,40.983585,139.240005,127.32,170.100006,123.470001,45.73,108.300003,109.339996,25.777189,433.50372300000004,61.18,226.600006,85.150002,124.370003,23.17,23.266205,20.809998999999998,35.810001,16.58,93.25,65.194855,53.397240000000004,63.110001000000004,193.779999,63.692913,167.649994,95.959999,164.034348,36.360001000000004,72.482239,54.490002000000004,0.145,35.651321
2018-01-23,41.924259,141.199997,127.66999799999999,172.690002,124.150002,45.950001,110.33000200000001,111.110001,25.995472,439.418976,61.790001000000004,231.830002,86.720001,124.739998,23.6,23.885983,21.299999,36.349998,16.6,95.0,68.019966,54.061478,64.970001,198.08999599999999,63.970226000000004,168.25,97.150002,164.26148999999998,37.029999,72.849007,55.950001,0.145,36.275566
